English, French, Unused
spoon,la cuillère,feminine
fork,la fourchette,feminine
knife,le couteau,masculine
plate,l’assiette,feminine
bowl,le bol,masculine
glass,le verre,masculine
cup,la tasse,feminine
napkin,la serviette,feminine
straw,la paille,feminine
dish,le plat,masculine
pan,la poêle,feminine
pot,la casserole,feminine
lid,le couvercle,masculine
spatula,la spatule,feminine
whisk,le fouet,masculine
ladle,la louche,feminine
cutting_board,la planche à découper,feminine
grater,la râpe,feminine
peeler,l’éplucheur,masculine
colander,la passoire,feminine
rolling_pin,le rouleau à pâtisserie,masculine
oven_mitt,le gant de cuisine,masculine
stove,la cuisinière,feminine
oven,le four,masculine
microwave,le micro-ondes,masculine
refrigerator,le réfrigérateur,masculine
freezer,le congélateur,masculine
dishwasher,le lave-vaisselle,masculine
toaster,le grille-pain,masculine
blender,le mixeur,masculine
coffee_maker,la cafetière,feminine
kettle,la bouilloire,feminine
knife_block,le bloc à couteaux,masculine
jar,le bocal,masculine
bottle,la bouteille,feminine
container,le récipient,masculine
lid,le couvercle,masculine
shelf,l’étagère,feminine
drawer,le tiroir,masculine
cupboard,le placard,masculine
counter,le plan de travail,masculine
sink,l’évier,masculine
sponge,l’éponge,feminine
dish_soap,le liquide vaisselle,masculine
towel,le torchon,masculine
trash_can,la poubelle,feminine
broom,le balai,masculine
mop,la serpillière,feminine
