English,French,Gender
bathroom,la salle de bain,feminine
bathtub,la baignoire,feminine
shower,la douche,feminine
showerhead,le pommeau de douche,masculine
toilet,les toilettes,plural feminine
sink,le lavabo,masculine
faucet,le robinet,masculine
mirror,le miroir,masculine
toothbrush,la brosse à dents,feminine
toothpaste,le dentifrice,masculine
soap,le savon,masculine
bar soap,un savon en barre,masculine
liquid soap,le savon liquide,masculine
shampoo,le shampooing,masculine
conditioner,l’après-shampooing,masculine
towel,la serviette,feminine
bath towel,la serviette de bain,feminine
hand towel,la serviette à main,feminine
washcloth,le gant de toilette,masculine
towel rack,le porte-serviettes,masculine
toilet paper,le papier toilette,masculine
toilet brush,la brosse de toilette,feminine
bidet,le bidet,masculine
soap dish,le porte-savon,masculine
toothbrush holder,le porte-brosse à dents,masculine
mirror cabinet,l’armoire de toilette,feminine
bath mat,le tapis de bain,masculine
razor,le rasoir,masculine
shaving cream,la crème à raser,feminine
hair dryer,le sèche-cheveux,masculine
comb,le peigne,masculine
brush,la brosse,feminine
deodorant,le déodorant,masculine
light switch,l’interrupteur,masculine
electric outlet,la prise électrique,feminine
trash can,la poubelle,feminine
toilet seat,l’abattant des toilettes,masculine
plunger,la ventouse,feminine
scale,la balance,feminine
robe,le peignoir,masculine
slippers,les pantoufles,plural feminine

